Buy and Hold,Strategy,Longs,Sells,Shorts,Covers,Stdev_Strategy,Stdev_Hold,Coin,Strategy_Name,Volume_Window,Price_Window,Long_Price_Window,
465.69,134.83,1640,1639,0,0,340.1870867,1107.833015,USDT_ETH,exp_no_volume,0,13,0,-330.86
465.69,132.41,1577,1576,0,0,338.5791806,1107.833015,USDT_ETH,exp_no_volume,0,14,0,-333.28
465.69,131.26,1835,1834,0,0,362.0950609,1107.833015,USDT_ETH,exp_no_volume,0,10,0,-334.43
465.69,124.26,1533,1532,0,0,332.9632969,1107.833015,USDT_ETH,exp_no_volume,0,15,0,-341.43
465.69,124.11,1337,1336,0,0,309.4854722,1107.833015,USDT_ETH,exp_no_volume,0,19,0,-341.58
465.69,115,1310,1309,0,0,291.7793093,1107.833015,USDT_ETH,exp_no_volume,0,20,0,-350.69
465.69,114.42,1377,1376,0,0,300.9872404,1107.833015,USDT_ETH,exp_no_volume,0,18,0,-351.27
465.69,109.06,1216,1215,0,0,275.8316737,1107.833015,USDT_ETH,exp_no_volume,0,23,0,-356.63
465.69,107.5,1477,1476,0,0,286.1134185,1107.833015,USDT_ETH,exp_no_volume,0,16,0,-358.19
465.69,106.43,1236,1235,0,0,257.1467957,1107.833015,USDT_ETH,exp_no_volume,0,22,0,-359.26
465.69,100.48,1760,1759,0,0,305.8416228,1107.833015,USDT_ETH,exp_no_volume,0,11,0,-365.21
465.69,95,1186,1185,0,0,246.4649424,1107.833015,USDT_ETH,exp_no_volume,0,24,0,-370.69
465.69,91.52,1417,1416,0,0,262.3716325,1107.833015,USDT_ETH,exp_no_volume,0,17,0,-374.17
465.69,88.51,1058,1057,0,0,232.5573096,1107.833015,USDT_ETH,exp_no_volume,0,30,0,-377.18
465.69,85.47,1037,1036,0,0,222.1723803,1107.833015,USDT_ETH,exp_no_volume,0,31,0,-380.22
465.69,84.37,1076,1075,0,0,225.1146786,1107.833015,USDT_ETH,exp_no_volume,0,29,0,-381.32
465.69,81.4,1099,1098,0,0,220.8854045,1107.833015,USDT_ETH,exp_no_volume,0,28,0,-384.29
