Buy and Hold,Strategy,Longs,Sells,Shorts,Covers,Stdev_Strategy,Stdev_Hold,Coin,Strategy_Name,Volume_Window,Price_Window,Long_Price_Window
0.68,0,0,0,0,0,0,307.88158,USDT_NEO,standard,28,0,0
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,standard,28,0,0
235.69,0,0,0,0,0,0,752.0568798,USDT_ADA,standard,28,0,0
13.31,0,0,0,0,0,0,536.2667006,USDT_XRP,standard,28,0,0
465.69,0,0,0,0,0,0,1107.833015,USDT_ETH,standard,28,0,0
300.87,0,0,0,0,0,0,590.3701844,USDT_BTC,standard,28,0,0
197.62,0,0,0,0,0,0,434.2002572,USDT_LTC,standard,28,0,0
0.68,0,0,0,0,0,0,307.88158,USDT_NEO,standard,30,0,0
235.69,0,0,0,0,0,0,752.0568798,USDT_ADA,standard,30,0,0
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,standard,30,0,0
465.69,0,0,0,0,0,0,1107.833015,USDT_ETH,standard,30,0,0
13.31,0,0,0,0,0,0,536.2667006,USDT_XRP,standard,30,0,0
197.62,0,0,0,0,0,0,434.2002572,USDT_LTC,standard,30,0,0
300.87,0,0,0,0,0,0,590.3701844,USDT_BTC,standard,30,0,0
0.68,0,0,0,0,0,0,307.88158,USDT_NEO,standard,32,0,0
235.69,0,0,0,0,0,0,752.0568798,USDT_ADA,standard,32,0,0
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,standard,32,0,0
13.31,0,0,0,0,0,0,536.2667006,USDT_XRP,standard,32,0,0
465.69,0,0,0,0,0,0,1107.833015,USDT_ETH,standard,32,0,0
197.62,0,0,0,0,0,0,434.2002572,USDT_LTC,standard,32,0,0
300.87,0,0,0,0,0,0,590.3701844,USDT_BTC,standard,32,0,0
0.68,0,0,0,0,0,0,307.88158,USDT_NEO,standard,34,0,0
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,standard,34,0,0
