Net Return,Price Window,Volume_Window
-437.78,20,36
-396.0699999999997,20,38
-308.85,20,40
-377.8499999999997,20,42
-386.5899999999997,20,44
-453.0400000000002,20,46
-403.65999999999985,20,48
-1201.01,22,0
-389.2900000000001,22,2
-504.37999999999977,22,4
-580.6300000000001,22,6
-556.48,22,8
-731.15,22,10
-776.4100000000001,22,12
-777.94,22,14
-689.84,22,16
-681.9699999999998,22,18
-685.45,22,20
-644.23,22,22
-651.7999999999997,22,24
-569.8199999999999,22,26
-542.72,22,28
-589.22,22,30
-654.8299999999999,22,32
-653.2099999999999,22,34
-654.05,22,36
-607.91,22,38
-533.51,22,40
-577.8100000000002,22,42
-566.11,22,44
-613.7399999999998,22,46
-572.71,22,48
-1201.01,24,0
-603.99,24,2
-625.36,24,4
-700.8299999999997,24,6
-740.76,24,8
-832.3599999999999,24,10
-806.73,24,12
-836.51,24,14
-755.62,24,16
-791.8499999999999,24,18
-775.45,24,20
-778.84,24,22
-783.65,24,24
-745.1800000000001,24,26
-710.5,24,28
-734.01,24,30
-777.99,24,32
-781.9199999999997,24,34
-750.9899999999998,24,36
-767.73,24,38
-722.8299999999997,24,40
-727.4600000000003,24,42
-728.2299999999998,24,44
-769.96,24,46
-704.15,24,48
-1201.0100000000002,26,0
-480.39999999999975,26,2
-607.5299999999997,26,4
-672.99,26,6
-748.9099999999997,26,8
-804.24,26,10
-781.17,26,12
-822.76,26,14
-699.51,26,16
-735.1500000000001,26,18
-744.9100000000001,26,20
-802.61,26,22
-786.78,26,24
-761.28,26,26
-702.3299999999999,26,28
-712.11,26,30
-750.7899999999997,26,32
-752.04,26,34
-769.9199999999998,26,36
-762.89,26,38
-711.2099999999998,26,40
-719.62,26,42
-698.34,26,44
-757.49,26,46
-700.85,26,48
-1201.0099999999998,28,0
-550.29,28,2
-670.9899999999998,28,4
-680.99,28,6
-773.9599999999998,28,8
-810.65,28,10
-801.37,28,12
-878.6899999999999,28,14
-738.5500000000002,28,16
-787.1100000000001,28,18
-782.3000000000001,28,20
-849.8199999999997,28,22
-834.12,28,24
-834.9899999999998,28,26
-778.42,28,28
-777.1600000000001,28,30
-803.42,28,32
-805.08,28,34
-816.29,28,36
-779.16,28,38
-757.56,28,40
-759.41,28,42
-715.7,28,44
-783.76,28,46
-735.64,28,48
-1201.01,30,0
-658.7899999999997,30,2
-761.0799999999999,30,4
-737.87,30,6
-824.05,30,8
-856.0,30,10
-842.54,30,12
-933.55,30,14
-790.64,30,16
-826.9,30,18
-830.6,30,20
-877.5599999999998,30,22
-872.41,30,24
-868.03,30,26
-814.3699999999999,30,28
-791.25,30,30
-824.4099999999999,30,32
-838.94,30,34
-829.1,30,36
-787.1099999999999,30,38
-771.9300000000001,30,40
-787.94,30,42
-746.41,30,44
-820.71,30,46
-780.9,30,48
-1201.01,32,0
-755.8299999999998,32,2
-790.9100000000002,32,4
-743.5,32,6
-778.5999999999997,32,8
-853.74,32,10
-868.8499999999999,32,12
-944.5,32,14
-839.6299999999999,32,16
-851.0399999999997,32,18
-863.7599999999998,32,20
-925.5500000000002,32,22
-910.13,32,24
-908.47,32,26
-837.85,32,28
-815.1099999999998,32,30
-810.63,32,32
